Date/Time,908 [°F],908 [fpm],
1/7/26 10:55:33 AM,71.3,439,
1/7/26 10:55:34 AM,71.3,438,
1/7/26 10:55:35 AM,71.3,437,
1/7/26 10:55:36 AM,71.3,439,
1/7/26 10:55:37 AM,71.3,437,
1/7/26 10:55:38 AM,71.3,437,
1/7/26 10:55:39 AM,71.3,437,
1/7/26 10:55:40 AM,71.3,439,
1/7/26 10:55:41 AM,71.3,435,
1/7/26 10:55:42 AM,71.3,438,
1/7/26 10:55:43 AM,71.3,437,
1/7/26 10:55:44 AM,71.3,438,
1/7/26 10:55:45 AM,71.3,437,
1/7/26 10:55:46 AM,71.3,440,
1/7/26 10:55:47 AM,71.3,437,
1/7/26 10:55:48 AM,71.3,439,
1/7/26 10:55:49 AM,71.3,440,
1/7/26 10:55:50 AM,71.3,439,
1/7/26 10:55:51 AM,71.3,439,
1/7/26 10:55:52 AM,71.3,440,
1/7/26 10:55:53 AM,71.3,436,
1/7/26 10:55:54 AM,71.3,438,
1/7/26 10:55:55 AM,71.3,441,
1/7/26 10:55:56 AM,71.3,439,
1/7/26 10:55:57 AM,71.3,440,
1/7/26 10:55:58 AM,71.3,439,
1/7/26 10:55:59 AM,71.3,436,
1/7/26 10:56:00 AM,71.3,436,
1/7/26 10:56:01 AM,71.3,441,
1/7/26 10:56:02 AM,71.3,441,
1/7/26 10:56:03 AM,71.3,437,
1/7/26 10:56:04 AM,71.3,440,
1/7/26 10:56:05 AM,71.3,438,
1/7/26 10:56:06 AM,71.3,440,
1/7/26 10:56:07 AM,71.2,438,
1/7/26 10:56:08 AM,71.2,438,
1/7/26 10:56:09 AM,71.2,439,
1/7/26 10:56:10 AM,71.2,439,
1/7/26 10:56:11 AM,71.2,440,
1/7/26 10:56:12 AM,71.2,438,
1/7/26 10:56:13 AM,71.2,438,
1/7/26 10:56:14 AM,71.2,440,
1/7/26 10:56:15 AM,71.2,432,
1/7/26 10:56:16 AM,71.2,432,
1/7/26 10:56:17 AM,71.2,437,
1/7/26 10:56:18 AM,71.2,432,
1/7/26 10:56:19 AM,71.2,433,
1/7/26 10:56:20 AM,71.2,433,
1/7/26 10:56:21 AM,71.2,434,
1/7/26 10:56:22 AM,71.2,437,
1/7/26 10:56:23 AM,71.2,435,
1/7/26 10:56:24 AM,71.2,431,
1/7/26 10:56:25 AM,71.2,432,
1/7/26 10:56:26 AM,71.2,434,
1/7/26 10:56:27 AM,71.2,434,
1/7/26 10:56:28 AM,71.2,437,
1/7/26 10:56:29 AM,71.2,438,
1/7/26 10:56:30 AM,71.2,436,
1/7/26 10:56:31 AM,71.2,433,
1/7/26 10:56:32 AM,71.2,436,
1/7/26 10:56:33 AM,71.2,433,
1/7/26 10:56:34 AM,71.2,434,
Overall Average,71.3,437,
Minimum Total,71.2,431,
Maximum Total,71.3,441,

< General Information >
App Version,Name of Measurement Program,Date of Measurement,Comments,
30.2.7.92410,Basic View,1/7/26 10:56:39 AM,6.5 Volt exit tube length 0,455m,

< Company >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,Fax,Website Address,
,,,,,,,,,,

< Customer >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,
,,,,,,,,

< Instruments >
Name,Serial Number,Firmware Version,Measurement Parameters,
testo 410i,49034908,1.101.1,Temperature,
testo 410i,49034908,1.101.1,Flow Velocity,

< Measuring Site >
Name,System Number,System Type,System Manufacturer,System Serial Number,Date of Manufacture,Notes,
,,,,,,,

< Measurement Parameters >
Measuring mode,Measuring Cycle,Start Time,End,Duration,
Continuous,1 Sec,1/7/26 10:55:33 AM,1/7/26 10:56:34 AM,1 Min. 1 Sec,

< Graphic sections >
Name

< Images >
Name

