Date/Time,908 [°F],908 [fpm],
1/7/26 10:57:43 AM,70.9,492,
1/7/26 10:57:44 AM,70.9,484,
1/7/26 10:57:45 AM,70.9,490,
1/7/26 10:57:46 AM,70.9,485,
1/7/26 10:57:47 AM,70.9,486,
1/7/26 10:57:48 AM,70.9,486,
1/7/26 10:57:49 AM,70.9,482,
1/7/26 10:57:50 AM,70.9,482,
1/7/26 10:57:51 AM,70.9,488,
1/7/26 10:57:52 AM,70.9,488,
1/7/26 10:57:53 AM,70.9,487,
1/7/26 10:57:54 AM,70.9,485,
1/7/26 10:57:55 AM,70.9,484,
1/7/26 10:57:56 AM,70.8,489,
1/7/26 10:57:57 AM,70.8,489,
1/7/26 10:57:58 AM,70.8,490,
1/7/26 10:57:59 AM,70.8,487,
1/7/26 10:58:00 AM,70.8,485,
1/7/26 10:58:01 AM,70.8,489,
1/7/26 10:58:02 AM,70.8,489,
1/7/26 10:58:03 AM,70.8,488,
1/7/26 10:58:04 AM,70.8,486,
1/7/26 10:58:05 AM,70.8,490,
1/7/26 10:58:06 AM,70.8,486,
1/7/26 10:58:07 AM,70.8,486,
1/7/26 10:58:08 AM,70.8,491,
1/7/26 10:58:09 AM,70.8,487,
1/7/26 10:58:10 AM,70.8,483,
1/7/26 10:58:11 AM,70.8,489,
1/7/26 10:58:12 AM,70.8,487,
1/7/26 10:58:13 AM,70.8,484,
1/7/26 10:58:14 AM,70.8,485,
1/7/26 10:58:15 AM,70.8,489,
1/7/26 10:58:16 AM,70.8,489,
1/7/26 10:58:17 AM,70.8,487,
1/7/26 10:58:18 AM,70.8,485,
1/7/26 10:58:19 AM,70.8,487,
1/7/26 10:58:20 AM,70.8,489,
1/7/26 10:58:21 AM,70.8,488,
1/7/26 10:58:22 AM,70.8,488,
1/7/26 10:58:23 AM,70.8,488,
1/7/26 10:58:24 AM,70.8,486,
1/7/26 10:58:25 AM,70.8,484,
1/7/26 10:58:26 AM,70.8,483,
1/7/26 10:58:27 AM,70.8,487,
1/7/26 10:58:28 AM,70.7,487,
1/7/26 10:58:29 AM,70.7,484,
1/7/26 10:58:30 AM,70.7,486,
1/7/26 10:58:31 AM,70.7,490,
1/7/26 10:58:32 AM,70.7,489,
1/7/26 10:58:33 AM,70.7,485,
1/7/26 10:58:34 AM,70.7,485,
1/7/26 10:58:35 AM,70.7,488,
1/7/26 10:58:36 AM,70.7,484,
1/7/26 10:58:37 AM,70.7,484,
1/7/26 10:58:38 AM,70.7,491,
1/7/26 10:58:39 AM,70.7,487,
1/7/26 10:58:40 AM,70.7,484,
1/7/26 10:58:41 AM,70.7,484,
1/7/26 10:58:42 AM,70.7,485,
1/7/26 10:58:43 AM,70.7,487,
Overall Average,70.8,487,
Minimum Total,70.7,482,
Maximum Total,70.9,492,

< General Information >
App Version,Name of Measurement Program,Date of Measurement,Comments,
30.2.7.92410,Basic View,1/7/26 10:58:47 AM,7 Volt exit tube length 0,455m,

< Company >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,Fax,Website Address,
,,,,,,,,,,

< Customer >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,
,,,,,,,,

< Instruments >
Name,Serial Number,Firmware Version,Measurement Parameters,
testo 410i,49034908,1.101.1,Temperature,
testo 410i,49034908,1.101.1,Flow Velocity,

< Measuring Site >
Name,System Number,System Type,System Manufacturer,System Serial Number,Date of Manufacture,Notes,
,,,,,,,

< Measurement Parameters >
Measuring mode,Measuring Cycle,Start Time,End,Duration,
Continuous,1 Sec,1/7/26 10:57:43 AM,1/7/26 10:58:43 AM,1 Min. 0 Sec,

< Graphic sections >
Name

< Images >
Name

