Date/Time,908 [°F],908 [fpm],
1/7/26 10:01:13 AM,72.2,408,
1/7/26 10:01:14 AM,72.2,408,
1/7/26 10:01:15 AM,72.2,398,
1/7/26 10:01:16 AM,72.1,398,
1/7/26 10:01:17 AM,72.1,395,
1/7/26 10:01:18 AM,72.1,399,
1/7/26 10:01:19 AM,72.1,398,
1/7/26 10:01:20 AM,72.1,398,
1/7/26 10:01:21 AM,72.1,399,
1/7/26 10:01:22 AM,72.1,399,
1/7/26 10:01:23 AM,72.1,408,
1/7/26 10:01:24 AM,72.1,411,
1/7/26 10:01:25 AM,72.1,413,
1/7/26 10:01:26 AM,72.2,409,
1/7/26 10:01:27 AM,72.2,409,
1/7/26 10:01:28 AM,72.2,407,
1/7/26 10:01:29 AM,72.2,407,
1/7/26 10:01:30 AM,72.2,409,
1/7/26 10:01:31 AM,72.2,414,
1/7/26 10:01:32 AM,72.2,414,
1/7/26 10:01:33 AM,72.2,419,
1/7/26 10:01:34 AM,72.3,424,
1/7/26 10:01:35 AM,72.3,409,
1/7/26 10:01:36 AM,72.2,405,
1/7/26 10:01:37 AM,72.2,410,
1/7/26 10:01:38 AM,72.2,405,
1/7/26 10:01:39 AM,72.2,408,
1/7/26 10:01:40 AM,72.2,403,
1/7/26 10:01:41 AM,72.2,404,
1/7/26 10:01:42 AM,72.2,407,
1/7/26 10:01:43 AM,72.2,408,
1/7/26 10:01:44 AM,72.2,405,
1/7/26 10:01:45 AM,72.2,406,
1/7/26 10:01:46 AM,72.2,407,
1/7/26 10:01:47 AM,72.2,401,
1/7/26 10:01:48 AM,72.2,403,
1/7/26 10:01:49 AM,72.2,408,
1/7/26 10:01:50 AM,72.2,406,
1/7/26 10:01:51 AM,72.2,409,
1/7/26 10:01:52 AM,72.2,412,
1/7/26 10:01:53 AM,72.2,415,
1/7/26 10:01:54 AM,72.2,423,
1/7/26 10:01:55 AM,72.2,429,
1/7/26 10:01:56 AM,72.2,430,
1/7/26 10:01:57 AM,72.3,430,
1/7/26 10:01:58 AM,72.3,430,
1/7/26 10:01:59 AM,72.3,431,
1/7/26 10:02:00 AM,72.3,432,
1/7/26 10:02:01 AM,72.3,431,
1/7/26 10:02:02 AM,72.3,426,
1/7/26 10:02:03 AM,72.3,428,
1/7/26 10:02:04 AM,72.3,427,
1/7/26 10:02:05 AM,72.3,429,
1/7/26 10:02:06 AM,72.3,433,
1/7/26 10:02:07 AM,72.3,431,
1/7/26 10:02:08 AM,72.3,431,
1/7/26 10:02:09 AM,72.3,434,
1/7/26 10:02:10 AM,72.3,437,
1/7/26 10:02:11 AM,72.3,432,
1/7/26 10:02:12 AM,72.3,432,
1/7/26 10:02:13 AM,72.3,435,
Overall Average,72.2,415,
Minimum Total,72.1,395,
Maximum Total,72.3,437,

< General Information >
App Version,Name of Measurement Program,Date of Measurement,Comments,
30.2.7.92410,Basic View,1/7/26 10:02:20 AM,6 Volt exit tube length 0,455m,

< Company >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,Fax,Website Address,
,,,,,,,,,,

< Customer >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,
,,,,,,,,

< Instruments >
Name,Serial Number,Firmware Version,Measurement Parameters,
testo 410i,49034908,1.101.1,Temperature,
testo 410i,49034908,1.101.1,Flow Velocity,

< Measuring Site >
Name,System Number,System Type,System Manufacturer,System Serial Number,Date of Manufacture,Notes,
,,,,,,,

< Measurement Parameters >
Measuring mode,Measuring Cycle,Start Time,End,Duration,
Continuous,1 Sec,1/7/26 10:01:13 AM,1/7/26 10:02:13 AM,1 Min. 0 Sec,

< Graphic sections >
Name

< Images >
Name

