index,time_s,x_px,y_px,radius_px,found,mm_per_px,x_mm,y_mm,frame_file
0,0.000000,912.000,563.038,187.397,1,0.125402,0.000,0.000,frame12_0001.jpg
1,0.166667,893.000,551.683,190.258,1,0.123517,-2.347,-1.403,frame12_0002.jpg
2,0.333333,897.000,547.000,187.072,1,0.125620,-1.884,-2.015,frame12_0003.jpg
3,0.500000,899.500,567.351,186.857,1,0.125765,-1.572,0.542,frame12_0004.jpg
4,0.666667,917.500,571.543,188.957,1,0.124367,0.684,1.058,frame12_0005.jpg
5,0.833333,902.500,547.832,187.563,1,0.125291,-1.190,-1.905,frame12_0006.jpg
6,1.000000,905.500,547.000,186.355,1,0.126103,-0.820,-2.022,frame12_0007.jpg
7,1.166667,915.000,553.439,186.616,1,0.125927,0.378,-1.209,frame12_0008.jpg
8,1.333333,903.000,561.171,186.467,1,0.126028,-1.134,-0.235,frame12_0009.jpg
9,1.500000,894.000,565.726,188.427,1,0.124717,-2.245,0.335,frame12_0010.jpg
10,1.666667,896.500,569.771,188.933,1,0.124382,-1.928,0.837,frame12_0011.jpg
11,1.833333,900.500,560.326,190.460,1,0.123386,-1.419,-0.335,frame12_0012.jpg
12,2.000000,876.500,552.890,188.428,1,0.124716,-4.427,-1.266,frame12_0013.jpg
13,2.166667,838.605,549.351,190.288,1,0.123497,-9.064,-1.690,frame12_0014.jpg
14,2.333333,855.000,558.355,191.116,1,0.122962,-7.009,-0.576,frame12_0015.jpg
15,2.500000,881.500,562.622,187.420,1,0.125387,-3.824,-0.052,frame12_0016.jpg
16,2.666667,889.000,562.739,188.866,1,0.124427,-2.862,-0.037,frame12_0017.jpg
17,2.833333,904.500,560.445,189.148,1,0.124241,-0.932,-0.322,frame12_0018.jpg
18,3.000000,864.000,555.931,190.122,1,0.123605,-5.933,-0.878,frame12_0019.jpg
19,3.166667,866.000,547.000,189.528,1,0.123992,-5.704,-1.989,frame12_0020.jpg
20,3.333333,878.000,560.669,189.883,1,0.123761,-4.208,-0.293,frame12_0021.jpg
21,3.500000,889.500,557.369,188.082,1,0.124946,-2.811,-0.708,frame12_0022.jpg
22,3.666667,902.500,543.799,186.007,1,0.126339,-1.200,-2.431,frame12_0023.jpg
23,3.833333,907.000,539.866,187.659,1,0.125227,-0.626,-2.902,frame12_0024.jpg
24,4.000000,916.000,554.372,189.125,1,0.124256,0.497,-1.077,frame12_0025.jpg
25,4.166667,918.000,572.505,189.950,1,0.123717,0.742,1.171,frame12_0026.jpg
26,4.333333,900.500,568.637,187.812,1,0.125125,-1.439,0.701,frame12_0027.jpg
27,4.500000,881.000,547.000,186.118,1,0.126264,-3.914,-2.025,frame12_0028.jpg
28,4.666667,870.000,540.407,185.952,1,0.126377,-5.308,-2.860,frame12_0029.jpg
29,4.833333,870.500,562.470,188.153,1,0.124898,-5.183,-0.071,frame12_0030.jpg
30,5.000000,877.500,570.323,193.252,1,0.121603,-4.195,0.886,frame12_0031.jpg
31,5.166667,883.000,561.024,190.215,1,0.123544,-3.583,-0.249,frame12_0032.jpg
32,5.333333,883.500,546.405,190.797,1,0.123167,-3.510,-2.049,frame12_0033.jpg
33,5.500000,871.500,547.296,190.540,1,0.123334,-4.995,-1.942,frame12_0034.jpg
34,5.666667,863.500,557.604,190.228,1,0.123536,-5.991,-0.671,frame12_0035.jpg
35,5.833333,862.500,557.152,188.259,1,0.124828,-6.179,-0.735,frame12_0036.jpg
36,6.000000,858.500,547.000,188.781,1,0.124483,-6.660,-1.996,frame12_0037.jpg
37,6.166667,856.000,543.159,187.243,1,0.125506,-7.028,-2.495,frame12_0038.jpg
38,6.333333,845.500,553.768,188.791,1,0.124476,-8.278,-1.154,frame12_0039.jpg
39,6.500000,842.500,560.253,195.512,1,0.120197,-8.354,-0.335,frame12_0040.jpg
40,6.666667,843.000,555.280,191.232,1,0.122888,-8.479,-0.953,frame12_0041.jpg
41,6.833333,855.000,548.846,185.456,1,0.126715,-7.223,-1.798,frame12_0042.jpg
42,7.000000,869.500,555.439,186.294,1,0.126145,-5.361,-0.959,frame12_0043.jpg
43,7.166667,883.500,569.027,190.821,1,0.123152,-3.510,0.738,frame12_0044.jpg
44,7.333333,886.500,567.497,188.678,1,0.124551,-3.176,0.555,frame12_0045.jpg
45,7.500000,883.500,552.445,189.346,1,0.124111,-3.537,-1.315,frame12_0046.jpg
46,7.666667,890.500,550.686,188.682,1,0.124548,-2.678,-1.538,frame12_0047.jpg
47,7.833333,897.500,559.006,188.506,1,0.124665,-1.808,-0.503,frame12_0048.jpg
48,8.000000,901.000,567.976,188.640,1,0.124576,-1.370,0.615,frame12_0049.jpg
49,8.166667,903.000,564.261,188.299,1,0.124802,-1.123,0.153,frame12_0050.jpg
50,8.333333,899.000,552.730,187.215,1,0.125524,-1.632,-1.294,frame12_0051.jpg
51,8.500000,896.000,545.878,188.057,1,0.124962,-1.999,-2.144,frame12_0052.jpg
52,8.666667,900.500,547.287,189.030,1,0.124319,-1.430,-1.958,frame12_0053.jpg
53,8.833333,906.500,551.924,189.783,1,0.123826,-0.681,-1.376,frame12_0054.jpg
54,9.000000,908.500,560.390,189.799,1,0.123815,-0.433,-0.328,frame12_0055.jpg
55,9.166667,901.000,567.947,187.364,1,0.125424,-1.380,0.616,frame12_0056.jpg
56,9.333333,896.000,553.956,185.113,1,0.126949,-2.031,-1.153,frame12_0057.jpg
57,9.500000,903.500,539.546,183.899,1,0.127788,-1.086,-3.002,frame12_0058.jpg
58,9.666667,914.000,540.373,183.310,1,0.128198,0.256,-2.906,frame12_0059.jpg
59,9.833333,927.000,560.146,183.798,1,0.127857,1.918,-0.370,frame12_0060.jpg
60,10.000000,931.500,567.698,186.590,1,0.125945,2.456,0.587,frame12_0061.jpg
61,10.166667,921.500,560.671,183.655,1,0.127957,1.216,-0.303,frame12_0062.jpg
62,10.333333,901.500,547.777,184.727,1,0.127215,-1.336,-1.941,frame12_0063.jpg
63,10.500000,891.000,544.572,186.425,1,0.126056,-2.647,-2.328,frame12_0064.jpg
